Glove Case
Fracture Case
Dreams & Nightmares Case
Recoil Case
Revolution Case
Kilowatt Case
Fever Case
Sealed Genesis Terminal
Spectrum 2 Case
Danger Zone Case
AK-47 | Slate (Battle-Scarred)
AK-47 | Elite Build (Field-Tested)
AWP | Atheris (Minimal Wear)
Glock-18 | Vogue (Field-Tested)
AWP | Chrome Cannon (Well-Worn)
FAMAS | Bad Trip (Field-Tested)
USP-S | Cortex (Field-Tested)
P250 | Cassette (Factory New)
UMP-45 | K.O. Factory (Minimal Wear)
AK-47 | Searing Rage (Minimal Wear)
P250 | Visions (Minimal Wear)
AWP | Pit Viper (Field-Tested)
M4A1-S | Stratosphere (Field-Tested)
M4A4 | Desolate Space (Field-Tested)
Glock-18 | Umbral Rabbit (Field-Tested)
AWP | Chrome Cannon (Field-Tested)
P2000 | Grip Tape (Factory New)
StatTrak™ MP7 | Bloodsport (Well-Worn)
Sticker | Team Spirit (Holo) | Budapest 2025
Music Kit | The Verkkars, EZ4ENCE
M4A1-S | Glitched Paint (Factory New)
SG 553 | Dragon Tech (Field-Tested)
AUG | Creep (Minimal Wear)
P250 | Small Game (Factory New)
SSG 08 | Zeno (Field-Tested)
Galil AR | Metallic Squeezer (Factory New)
Desert Eagle | Conspiracy (Minimal Wear)
Sticker | arT (Foil) | Austin 2025
Antwerp 2022 Contenders Sticker Capsule
Sticker | TYLOO (Holo) | Budapest 2025
AUG | Amber Slipstream (Field-Tested)
MP7 | Just Smile (Minimal Wear)
P90 | Reef Grief (Minimal Wear)
StatTrak™ Five-SeveN | Scrawl (Well-Worn)
P250 | Muertos (Minimal Wear)
P90 | Wave Breaker (Minimal Wear)
MP5-SD | Picnic (Factory New)
M4A4 | Griffin (Field-Tested)
CZ75-Auto | Xiangliu (Field-Tested)
MP9 | Sand Scale (Minimal Wear)
P90 | Neoqueen (Field-Tested)
P90 | Neoqueen (Factory New)
Zeus x27 | Tosai (Field-Tested)
MAC-10 | Ensnared (Field-Tested)
Desert Eagle | Mint Fan (Factory New)
Glock-18 | Winterized (Battle-Scarred)
Charm | Big Kev
UMP-45 | Grand Prix (Field-Tested)
AK-47 | Crossfade (Minimal Wear)
Sticker | Vitality (Holo) | Budapest 2025
SSG 08 | Zeno (Minimal Wear)
Desert Eagle | The Daily Deagle (Field-Tested)
AWP | Safari Mesh (Field-Tested)
P250 | Re.built (Minimal Wear)
Negev | Sour Grapes (Field-Tested)
USP-S | Black Lotus (Field-Tested)
Desert Eagle | Mint Fan (Minimal Wear)
M4A1-S | Flashback (Minimal Wear)
StatTrak™ AWP | Duality (Field-Tested)
Sticker | Lynn Vision (Holo) | Budapest 2025
Nova | Dark Sigil (Field-Tested)
Five-SeveN | Scrawl (Minimal Wear)
MAC-10 | Derailment (Field-Tested)
USP-S | Torque (Field-Tested)
R8 Revolver | Amber Fade (Factory New)
MP9 | Cobalt Paisley (Minimal Wear)
Tec-9 | Re-Entry (Field-Tested)
XM1014 | Irezumi (Factory New)
Sticker | Killjoy (Holo)
Sticker | Drug War Veteran
Charm | Backsplash
Galil AR | Acid Dart (Field-Tested)
SG 553 | Heavy Metal (Well-Worn)
SSG 08 | Blush Pour (Field-Tested)
MP5-SD | Agent (Field-Tested)
P2000 | Grip Tape (Well-Worn)
AUG | Stymphalian (Field-Tested)
Stockholm 2021 Finalists Autograph Capsule
Music Kit | KILL SCRIPT, All Night
Sticker | Kawaii CT (Holo)
P2000 | Marsh (Minimal Wear)
Tec-9 | Citric Acid (Minimal Wear)
SG 553 | Cyberforce (Field-Tested)
Charm | Lil' Bloody
R8 Revolver | Dark Chamber (Minimal Wear)
StatTrak™ Sawed-Off | Analog Input (Field-Tested)
AK-47 | Safety Net (Battle-Scarred)
StatTrak™ Glock-18 | Clear Polymer (Field-Tested)
Zeus x27 | Earth Mandala (Battle-Scarred)
Sticker | hades (Gold) | Austin 2025
Five-SeveN | Orange Peel (Field-Tested)
StatTrak™ Zeus x27 | Tosai (Field-Tested)
Charm | Lil' Smokey
MP5-SD | Neon Squeezer (Battle-Scarred)
P250 | Nevermore (Factory New)
M4A4 | Poly Mag (Field-Tested)
Charm | Dead Weight
StatTrak™ Tec-9 | Sandstorm (Field-Tested)
M249 | Impact Drill (Well-Worn)
Sticker | Chabo
Negev | Ultralight (Field-Tested)
Tec-9 | Rebel (Field-Tested)
Tec-9 | VariCamo (Minimal Wear)
Sawed-Off | Analog Input (Factory New)
StatTrak™ Glock-18 | Winterized (Minimal Wear)
Desert Eagle | Oxide Blaze (Field-Tested)
SG 553 | Ol' Rusty (Factory New)
MAC-10 | Calf Skin (Minimal Wear)
StatTrak™ M4A4 | Magnesium (Well-Worn)
Sticker | Taste Bud
Galil AR | O-Ranger (Field-Tested)
UMP-45 | Roadblock (Field-Tested)
USP-S | Forest Leaves (Minimal Wear)
Galil AR | Acid Dart (Minimal Wear)
SSG 08 | Memorial (Factory New)
AK-47 | VariCamo Grey (Well-Worn)
UMP-45 | Roadblock (Minimal Wear)
Souvenir M4A1-S | Wash me plz (Factory New)
Sticker | forZe eSports (Holo) | Paris 2023
Sticker | Eternal Fire | Antwerp 2022
MP7 | Short Ochre (Factory New)
Zeus x27 | Electric Blue (Field-Tested)
Nova | Windblown (Factory New)
MAG-7 | Wildwood (Minimal Wear)
StatTrak™ M4A4 | Etch Lord (Well-Worn)
MAG-7 | MAGnitude (Factory New)
FAMAS | Half Sleeve (Field-Tested)
Souvenir M4A1-S | Wash me plz (Minimal Wear)
StatTrak™ Galil AR | Destroyer (Field-Tested)
Sticker | G2 esports (Gold) | Budapest 2025
M4A1-S | Boreal Forest (Field-Tested)
P2000 | Marsh (Field-Tested)
R8 Revolver | Crazy 8 (Battle-Scarred)
R8 Revolver | Leafhopper (Field-Tested)
Desert Eagle | Mudder (Minimal Wear)
MP9 | Bee-Tron (Minimal Wear)
SSG 08 | Sans Comic (Factory New)
Glock-18 | Weasel (Well-Worn)
Sticker | PARIVISION (Embroidered) | Budapest 2025
Sticker | FURIA (Glitter) | Paris 2023
MP5-SD | Liquidation (Battle-Scarred)
MAC-10 | Acid Hex (Field-Tested)
SG 553 | Cyberforce (Well-Worn)
Dual Berettas | Rose Nacre (Field-Tested)
StatTrak™ SSG 08 | Dezastre (Minimal Wear)
StatTrak™ MP5-SD | Liquidation (Minimal Wear)
UMP-45 | Moonrise (Field-Tested)
Sticker | NiKo (Embroidered) | Budapest 2025
Sticker | Shattered Web
Sticker | FURIA | Paris 2023
UMP-45 | Facility Dark (Factory New)
USP-S | Check Engine (Battle-Scarred)
Five-SeveN | Midnight Paintover (Factory New)
P250 | Exchanger (Minimal Wear)
StatTrak™ SSG 08 | Mainframe 001 (Field-Tested)
UMP-45 | Motorized (Battle-Scarred)
Nova | Currents (Factory New)
Sticker | Ancient Beast
Sticker | Into The Breach (Glitter) | Paris 2023
Sticker | BLAST.tv (Holo) | Paris 2023
Tec-9 | Blue Blast (Field-Tested)
Tec-9 | Slag (Well-Worn)
StatTrak™ P250 | Valence (Field-Tested)
SCAR-20 | Blueprint (Field-Tested)
SSG 08 | Blush Pour (Well-Worn)
StatTrak™ R8 Revolver | Tango (Field-Tested)
R8 Revolver | Tango (Battle-Scarred)
Sticker | mezii (Holo, Champion) | Austin 2025
Sticker | HObbit | Stockholm 2021
Sticker | TYLOO | Budapest 2025
P250 | Facility Draft (Field-Tested)
P90 | Grim (Field-Tested)
P2000 | Sure Grip (Well-Worn)
Negev | Bulkhead (Minimal Wear)
M4A4 | Steel Work (Battle-Scarred)
Sticker | FlyQuest (Embroidered) | Budapest 2025
Sticker | Team Liquid | Stockholm 2021
Sealed Graffiti | Piggles (Brick Red)
Sticker | Natus Vincere (Embroidered) | Budapest 2025
Sticker | Quick Peek
Five-SeveN | Midnight Paintover (Field-Tested)
Tec-9 | Blue Blast (Well-Worn)
FAMAS | Grey Ghost (Battle-Scarred)
StatTrak™ MP9 | Featherweight (Well-Worn)
StatTrak™ Negev | Drop Me (Well-Worn)
Sticker | ZywOo (Embroidered, Champion) | Budapest 2025
Sealed Graffiti | Sorry (Monarch Blue)
Sticker | Bad News Eagles (Glitter) | Paris 2023
Sticker | Team Liquid | Paris 2023
Sticker | BLAST.tv | Paris 2023
MP9 | Sand Dashed (Field-Tested)
MP9 | Slide (Field-Tested)
MP9 | Pine (Minimal Wear)
Souvenir FAMAS | CaliCamo (Field-Tested)
SCAR-20 | Zinc (Minimal Wear)
Sticker | Run T, Run
Sticker | Astralis | Antwerp 2022
Sticker | M80 (Embroidered) | Budapest 2025
Sticker | Virtus.Pro | Stockholm 2021
Sticker | Pop Pup
MP5-SD | Focus (Well-Worn)
Souvenir MAG-7 | Navy Sheen (Factory New)
StatTrak™ SSG 08 | Mainframe 001 (Well-Worn)
SCAR-20 | Poultrygeist (Battle-Scarred)
M249 | Sleet (Minimal Wear)
Sticker | FaZe Clan | Antwerp 2022
Sticker | Jame | Antwerp 2022
Sticker | Nemiga | 2020 RMR
Sticker | Team Liquid | Budapest 2025
Sticker | Boom | 2020 RMR
MAG-7 | Copper Oxide (Field-Tested)
Souvenir MAG-7 | Navy Sheen (Field-Tested)
Sawed-Off | Crimson Batik (Field-Tested)
MP7 | Short Ochre (Battle-Scarred)
Galil AR | O-Ranger (Well-Worn)
Sealed Graffiti | Tilt (Monarch Blue)
Sticker | jcobbb | Budapest 2025
Sticker | MIBR | Antwerp 2022
Sticker | NRG | Austin 2025
Sticker | Aurora | Budapest 2025
P250 | Plum Netting (Field-Tested)
Negev | Wall Bang (Well-Worn)
MP9 | Pine (Well-Worn)
FAMAS | Cyanospatter (Field-Tested)
Tec-9 | Groundwater (Minimal Wear)
P90 | Straight Dimes (Well-Worn)
Sticker | m0NESY | Copenhagen 2024
Sticker | kyousuke | Budapest 2025
Sticker | NiKo | Shanghai 2024
Sticker | 100 Thieves | 2020 RMR
MP9 | Sand Dashed (Minimal Wear)
Nova | Predator (Minimal Wear)
Sticker | nitr0 | Rio 2022
Sticker | fame (Champion) | Rio 2022
Sticker | dav1deuS (Embroidered) | Budapest 2025
Sticker | Fluxo (Embroidered) | Budapest 2025
Sticker | FlameZ (Foil, Champion) | Austin 2025
Sticker | kyxsan | Budapest 2025
Sealed Graffiti | Bling (Battle Green)
Sticker | Lucaozy | Budapest 2025
M4A1-S | VariCamo (Minimal Wear)
Souvenir P90 | Desert DDPAT (Field-Tested)
UMP-45 | Gunsmoke (Minimal Wear)
P2000 | Amber Fade (Field-Tested)
StatTrak™ MAC-10 | Light Box (Well-Worn)
SG 553 | Waves Perforated (Minimal Wear)
StatTrak™ CZ75-Auto | Imprint (Well-Worn)
Sawed-Off | Origami (Minimal Wear)
Sticker | Astralis (Glitter) | Antwerp 2022
Sticker | Good Versus Evil
MAC-10 | Pipsqueak (Factory New)
M249 | Downtown (Well-Worn)
Five-SeveN | Midnight Paintover (Well-Worn)
R8 Revolver | Crimson Web (Minimal Wear)
Sawed-Off | Crimson Batik (Well-Worn)
M4A4 | Spider Lily (Minimal Wear)
StatTrak™ Desert Eagle | Calligraffiti (Battle-Scarred)
Sticker | b1t (Embroidered) | Budapest 2025
Sticker | Zap Cat
Sticker | Explosive Strength
UMP-45 | Green Swirl (Minimal Wear)
FAMAS | Teardown (Well-Worn)
StatTrak™ Five-SeveN | Scumbria (Field-Tested)
StatTrak™ Five-SeveN | Scumbria (Minimal Wear)
Sticker | Natus Vincere (Glitter) | Shanghai 2024
Sticker | Passion UA | Shanghai 2024
Sticker | Snax (Holo) | Shanghai 2024
Sticker | MIBR (Gold) | Budapest 2025
Sticker | Kawaii Killer CT
Sticker | Call Your Flashes
Special Agent Ava | FBI
StatTrak™ FAMAS | Crypsis (Factory New)
Glock-18 | Umbral Rabbit (Well-Worn)
Tec-9 | Bamboozle (Battle-Scarred)
StatTrak™ Galil AR | Control (Minimal Wear)
StatTrak™ P90 | Off World (Factory New)
Sticker | roeJ (Holo) | Paris 2023
Sealed Graffiti | Worry (Bazooka Pink)
Sticker | FalleN (Embroidered) | Budapest 2025
Sealed Graffiti | Eye Spy (War Pig Pink)
StatTrak™ XM1014 | Mockingbird (Battle-Scarred)
StatTrak™ AK-47 | Slate (Field-Tested)
StatTrak™ Glock-18 | Block-18 (Factory New)
StatTrak™ SCAR-20 | Fragments (Battle-Scarred)
Dual Berettas | Sweet Little Angels (Minimal Wear)
StatTrak™ AK-47 | Head Shot (Well-Worn)
FAMAS | Eye of Athena (Field-Tested)
★ Hydra Gloves | Mangrove (Field-Tested)
Sticker | North | 2020 RMR
Sealed Graffiti | Karambit (Blood Red)
Desert Eagle | Serpent Strike (Well-Worn)
USP-S | Royal Guard (Battle-Scarred)
XM1014 | Irezumi (Well-Worn)
Dual Berettas | Polished Malachite (Well-Worn)
Five-SeveN | Capillary (Minimal Wear)
Zeus x27 | Electric Blue (Well-Worn)
StatTrak™ USP-S | Flashback (Minimal Wear)
MAC-10 | Whitefish (Battle-Scarred)
Sawed-Off | Black Sand (Field-Tested)
Sticker | karrigan | Budapest 2025
Dual Berettas | Melondrama (Battle-Scarred)
StatTrak™ Zeus x27 | Tosai (Battle-Scarred)
Souvenir MP9 | Music Box (Field-Tested)
StatTrak™ AK-47 | Red Laminate (Field-Tested)
StatTrak™ MP9 | Capillary (Field-Tested)
StatTrak™ P90 | Asiimov (Well-Worn)
StatTrak™ FAMAS | Rapid Eye Movement (Field-Tested)
StatTrak™ Glock-18 | Warhawk (Minimal Wear)
Sticker | Xant3r (Holo) | Austin 2025
eSports 2014 Summer Case
SSG 08 | Hand Brake (Battle-Scarred)
StatTrak™ AK-47 | Uncharted (Minimal Wear)
StatTrak™ AK-47 | Uncharted (Battle-Scarred)
Tec-9 | Remote Control (Field-Tested)
Nova | Rising Skull (Field-Tested)
AK-47 | Inheritance (Battle-Scarred)
StatTrak™ P250 | Verdigris (Field-Tested)
